dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,pyhpc_turbulent_kinetic_energy,1048576,pass,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,pass,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,pass,994,1,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,fail_to_run,994,1,0,0
