,m,k,n,eval_batch_size,init_batch_size,alg_id,sparse_latency (ms),dense_latency (ms),speedup (d/s)
0,768,3072,96,4,4,3,0.05041821259073913,0.03448974187485874,0.6840730780129609
1,768,3072,96,8,8,3,0.050882402993738654,0.031909380480647086,0.6271201555589602
2,768,3072,96,12,12,1,0.05097946687601507,0.03587950221262872,0.7038030095506822
3,768,3072,96,16,16,1,0.051840111473575236,0.04440982299856842,0.8566691262075256
4,768,3072,96,20,20,2,0.05075626140460372,0.04447144637815654,0.8761765572852627
5,768,3072,96,24,24,0,0.0511091920081526,0.05741324378177524,1.1233447747054395
6,768,3072,96,28,28,2,0.05154300420545042,0.07754488615319133,1.5044696627324516
7,768,3072,96,32,32,0,0.054419489391148095,0.07603581296280026,1.3972165820278406
8,768,3072,96,36,36,0,0.05668149166740477,0.09756571380421519,1.7212975688203578
9,768,3072,96,40,40,1,0.09750030795112252,0.09576495224609971,0.9822015361644523
10,768,3072,96,44,44,0,0.09764363197609782,0.09955934016034007,1.0196193867994503
11,768,3072,96,48,48,0,0.09765153005719185,0.08839012403041124,0.9051586183917808
12,768,3072,96,52,52,0,0.09861636999994516,0.1190919247455895,1.2076283556741718
13,768,3072,96,56,56,0,0.10003599291667342,0.12257786351256074,1.225337600384133
14,768,3072,96,60,60,2,0.10270657436922193,0.1254964645486325,1.2218931973865932
15,768,3072,96,64,64,0,0.10421916795894504,0.14258624450303614,1.3681383885083884
16,768,3072,96,68,68,0,0.10628950153477489,0.1454928070306778,1.3688351617970163
17,768,3072,96,72,72,0,0.10929599148221314,0.14984475309029222,1.370999531256167
18,768,3072,96,76,76,1,0.145490943454206,0.16767870727926493,1.1525027145902222
19,768,3072,96,80,80,0,0.1471865198109299,0.17116893827915192,1.162938960028601
20,768,3072,96,84,84,0,0.1488771946169436,0.17474378924816847,1.173744505985479
21,768,3072,96,88,88,0,0.1508286432363093,0.19172595231793824,1.2711508119684767
22,768,3072,96,92,92,2,0.1525740921497345,0.19554114807397127,1.2816143640040105
23,768,3072,96,96,96,0,0.15534963691607118,0.1979069027584046,1.2739450615216137
24,768,3072,96,100,100,0,0.15697017218917608,0.2150247199460864,1.3698444548238413
25,768,3072,96,104,104,0,0.15841401903890073,0.2196866050362587,1.3867876490294186
26,768,3072,96,108,108,2,0.1620577210560441,0.2217158921994269,1.3681291502473452
27,768,3072,96,112,112,1,0.19642617483623326,0.24134422419592738,1.2286764958750724
28,768,3072,96,116,116,0,0.19826855440624058,0.24460729071870446,1.233717023111585
29,768,3072,96,120,120,0,0.20094922790303826,0.2462769360281527,1.2255679636001682
30,768,3072,96,124,124,0,0.20154012693092227,0.26315225241705775,1.3057064934133589
31,768,3072,96,128,128,0,0.20417513279244304,0.2653681170195341,1.299708311145303
32,768,3072,192,4,4,3,0.051784927397966383,0.03172493590973317,0.6126287609892261
33,768,3072,192,8,8,1,0.05211806017905474,0.04437594311311841,0.8514503985885542
34,768,3072,192,12,12,3,0.05177488080225885,0.05747196050360799,1.1100355928023804
35,768,3072,192,16,16,2,0.05471920003183186,0.07672685058787465,1.4021924761919082
36,768,3072,192,20,20,3,0.09752454794943333,0.09669613791629672,0.9915056255009135
37,768,3072,192,24,24,3,0.09765744023025036,0.08831654489040375,0.9043503974932863
38,768,3072,192,28,28,0,0.1009041555225849,0.12235283013433221,1.2125648294727223
39,768,3072,192,32,32,0,0.1044462495483458,0.14262270694598556,1.3655129558287176
40,768,3072,192,36,36,0,0.10999683709815145,0.1496672835201025,1.3606507920455264
41,768,3072,192,40,40,0,0.14795647165738043,0.1716657669749111,1.1602450710803225
42,768,3072,192,44,44,0,0.15060153603553772,0.19252605992369354,1.2783804534255403
43,768,3072,192,48,48,0,0.15491904853843153,0.19952264847233891,1.2879155297861409
44,768,3072,192,52,52,0,0.1587578251492232,0.21986975613981485,1.384938071135391
45,768,3072,192,56,56,1,0.1973371496424079,0.23961535328999162,1.2142435102776923
46,768,3072,192,60,60,2,0.2002327530644834,0.24688941286876795,1.2330121275876336
47,768,3072,192,64,64,0,0.20346588362008333,0.266245907638222,1.3085530748504408
48,768,3072,192,68,68,0,0.20889838319271803,0.2881674161180854,1.3794621658332231
49,768,3072,192,72,72,0,0.21313293790444732,0.29618333792313933,1.3896647830938527
50,768,3072,192,76,76,1,0.2503611920401454,0.3262653360143304,1.30317855317614
51,768,3072,192,80,80,2,0.2542572091333568,0.343284715898335,1.35014742381713
52,768,3072,192,84,84,0,0.2610293859615922,0.34984223498031497,1.340240807338798
53,768,3072,192,88,88,0,0.2641426147893071,0.356286914087832,1.3488429891254905
54,768,3072,192,92,92,1,0.3028259016573429,0.375728796236217,1.240741938453356
55,768,3072,192,96,96,0,0.3036792208440602,0.38279897905886173,1.2605372800776173
56,768,3072,192,100,100,0,0.3106313240714371,0.4010625071823597,1.291120618248164
57,768,3072,192,104,104,0,0.31474495818838477,0.4218077198602259,1.340157193583259
58,768,3072,192,108,108,2,0.31719348207116127,0.42976350616663694,1.3548938753735833
59,768,3072,192,112,112,2,0.356577861122787,0.4477077112533152,1.2555678859129948
60,768,3072,192,116,116,2,0.3610838381573558,0.46730769285932183,1.2941805848858707
61,768,3072,192,120,120,2,0.3669323450885713,0.47940763691440225,1.3065286920908574
