hint_bs,hint_sl,runtime_bs,runtime_sl,perf
2,256,2,256,2.49
2,256,2,1024,1.742
2,256,2,2048,1.69
2,256,8,256,1.844
2,256,8,1024,1.75
2,256,8,2048,1.674
2,256,32,256,1.439
2,256,32,1024,1.805
2,256,32,2048,1.677
2,1024,2,256,2.867
2,1024,2,1024,1.849
2,1024,2,2048,1.899
2,1024,8,256,1.788
2,1024,8,1024,1.828
2,1024,8,2048,1.887
2,1024,32,256,1.405
2,1024,32,1024,1.848
2,1024,32,2048,1.855
2,2048,2,256,2.299
2,2048,2,1024,1.628
2,2048,2,2048,1.952
2,2048,8,256,1.354
2,2048,8,1024,1.619
2,2048,8,2048,1.927
2,2048,32,256,1.034
2,2048,32,1024,1.615
2,2048,32,2048,1.924
8,256,2,256,2.757
8,256,2,1024,1.457
8,256,2,2048,1.37
8,256,8,256,1.926
8,256,8,1024,1.397
8,256,8,2048,1.382
8,256,32,256,1.444
8,256,32,1024,1.422
8,256,32,2048,1.394
8,1024,2,256,2.421
8,1024,2,1024,1.815
8,1024,2,2048,1.955
8,1024,8,256,1.762
8,1024,8,1024,1.836
8,1024,8,2048,2.01
8,1024,32,256,1.385
8,1024,32,1024,1.889
8,1024,32,2048,2.039
8,2048,2,256,2.386
8,2048,2,1024,1.667
8,2048,2,2048,1.937
8,2048,8,256,1.374
8,2048,8,1024,1.662
8,2048,8,2048,1.978
8,2048,32,256,1.065
8,2048,32,1024,1.69
8,2048,32,2048,1.996
32,256,2,256,2.492
32,256,2,1024,1.821
32,256,2,2048,1.771
32,256,8,256,1.921
32,256,8,1024,1.865
32,256,8,2048,1.744
32,256,32,256,1.576
32,256,32,1024,1.908
32,256,32,2048,1.738
32,1024,2,256,2.414
32,1024,2,1024,1.803
32,1024,2,2048,1.946
32,1024,8,256,1.736
32,1024,8,1024,1.825
32,1024,8,2048,2.008
32,1024,32,256,1.36
32,1024,32,1024,1.887
32,1024,32,2048,2.04
32,2048,2,256,2.418
32,2048,2,1024,1.669
32,2048,2,2048,1.936
32,2048,8,256,1.39
32,2048,8,1024,1.661
32,2048,8,2048,1.977
32,2048,32,256,1.065
32,2048,32,1024,1.688
32,2048,32,2048,1.996
