dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,OutputGraph.call_user_compiler,inductor_codecache_torch_key,_recursive_pre_grad_passes,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pad_mm_benchmark,pad_mm_benchmark_get_do_bench,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,mm_template_precompiling,mm_template_autotuning,InductorBenchmarker.benchmark,InductorBenchmarker.benchmark_gpu,CachingAutotuner.synchronize,benchmark_fused_nodes,CachingAutotuner.benchmark_all_configs,CachingAutotuner.coordinate_descent_tuning,bmm_template_precompiling,bmm_template_autotuning,addmm_template_precompiling,addmm_template_autotuning,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,reload_kernel_in_parent,async_compile.wait,build_guards,compile_file,pgo.dynamic_whitelist,gc,cudagraphify.get_container,CUDAGraphNode.record
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",36.915004,30.633267,1.690512,28.874449,0.104025,0.008337,28.717681,1.131729,24.325167,0.824378,0.300846,0.014213,23.500087,23.472785,0.787914,1.397101,6.671811,14.428455,14.428345,11.123669,8.370282,4.228286,0.007067,1.556391,0.335194,18.286844,0.019146,2.552647,0.752830,16.142893,0.002356,1.627307,0.000768,1.336457,2.739959,0.072678,3.303085,0.067848,1.244782,6.272669,2.763709,0.000081,0.000348,0.004575,0.007874
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",30.622566,26.574331,1.700966,24.803886,0.105138,0.007971,24.648544,1.114536,20.284198,0.799817,0.302131,0.014617,19.483711,19.457184,0.790270,1.393452,4.239924,12.855232,12.855100,9.447483,6.676750,4.869425,0.004751,0.903048,0.187127,9.317340,0.013190,2.977947,0.789952,9.772707,0.001075,0.547115,0.000315,0.750053,2.756058,0.075891,3.405623,0.071856,1.411956,4.038768,0.000085,0.000413,0.004793,0.009156,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",35.744976,32.048619,1.773518,30.011222,0.111025,0.009642,29.682063,1.133247,24.915808,0.831698,0.321075,0.014460,24.083225,24.051509,0.802212,1.405786,5.015489,16.420541,16.420388,12.296535,8.781406,5.091964,0.009198,0.932869,0.187381,7.790591,0.014720,3.063171,0.808802,6.530888,0.004061,0.579517,0.002990,0.773856,3.500563,0.075466,3.815974,0.078409,2.687666,3.686020,0.000103,0.000211,0.005637,0.007856,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",81.369439,77.858789,1.713174,75.819754,0.106892,0.008079,75.420483,1.148510,70.985104,0.848799,0.350925,0.014364,70.135597,70.106623,0.788531,1.366268,10.778527,56.784993,56.784859,53.382857,49.697357,7.186715,0.012226,7.266400,0.641576,12.965142,0.017024,2.391209,0.876198,4.877275,0.005486,26.912226,0.003979,9.685430,3.526616,0.151406,3.038126,0.051977,1.911167,3.500966,0.000092,0.000344,0,0,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",50.552886,46.857187,1.748334,45.031191,0.110353,0.010398,44.865693,1.163290,40.021632,0.891234,0.378281,0.014566,39.129463,39.100711,0.813637,1.422535,10.304329,26.437866,26.437748,22.786636,20.336241,4.989887,0.005440,2.191075,0.530799,15.952313,0.022297,1.972410,0.482749,14.112492,0.002064,4.647564,0.001090,9.348887,2.374052,0.069086,3.649336,0.051939,0.888203,3.684868,0.000105,0.000508,0,0,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",39.944681,35.818216,1.796925,33.945067,0.114110,0.009144,33.774723,1.176933,28.863837,0.913809,0.384819,0.015144,27.948944,27.918262,0.808907,1.439191,11.173964,14.363633,14.363479,10.773174,8.328121,3.288722,0.005532,0.624532,0.529741,8.122437,0.016928,1.832048,0.478833,3.493384,0.001718,0.358319,0.001061,4.114359,2.369726,0.067804,3.588635,0.044797,0.897140,4.116397,0.000120,0.000099,0,0,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",39.630055,35.027951,1.765738,33.188487,0.111314,0.009018,33.023706,1.145896,28.235099,0.904544,0.392172,0.014747,27.329616,27.299570,0.802181,1.419550,10.096081,14.860020,14.859917,11.271787,8.808984,3.253390,0.005362,0.617628,0.545661,21.983281,0.017387,1.816339,0.480411,18.153411,0.001764,0.357424,0.001104,4.128998,2.387108,0.068895,3.586254,0.045545,0.980792,4.591488,0.674682,0.000125,0.000159,0,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",39.630055,35.027951,1.765738,33.188487,0.111314,0.009018,33.023706,1.145896,28.235099,0.904544,0.392172,0.014747,27.329616,27.299570,0.802181,1.419550,10.096081,14.860020,14.859917,11.271787,8.808984,3.253390,0.005362,0.617628,0.545661,21.983281,0.017387,1.816339,0.480411,18.153411,0.001764,0.357424,0.001104,4.128998,2.387108,0.068895,3.586254,0.045545,0.980792,4.591488,0.674682,0.000125,0.000159,0,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",39.630055,35.027951,1.765738,33.188487,0.111314,0.009018,33.023706,1.145896,28.235099,0.904544,0.392172,0.014747,27.329616,27.299570,0.802181,1.419550,10.096081,14.860020,14.859917,11.271787,8.808984,3.253390,0.005362,0.617628,0.545661,21.983281,0.017387,1.816339,0.480411,18.153411,0.001764,0.357424,0.001104,4.128998,2.387108,0.068895,3.586254,0.045545,0.980792,4.591488,0.674682,0.000125,0.000159,0,0
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",39.630055,35.027951,1.765738,33.188487,0.111314,0.009018,33.023706,1.145896,28.235099,0.904544,0.392172,0.014747,27.329616,27.299570,0.802181,1.419550,10.096081,14.860020,14.859917,11.271787,8.808984,3.253390,0.005362,0.617628,0.545661,21.983281,0.017387,1.816339,0.480411,18.153411,0.001764,0.357424,0.001104,4.128998,2.387108,0.068895,3.586254,0.045545,0.980792,4.591488,0.674682,0.000125,0.000159,0,0
