,m,k,n,dtype,sparse_latency (ms),dense_latency (ms),speedup (d/s),correct
0,3072,10240,3072,torch.float16,0.407753438256681,0.7348843850195408,1.8040786425974602,True
1,4096,10240,4096,torch.float16,0.6785882410360501,1.2254973081871865,1.8077572396810866,True
2,5120,10240,5120,torch.float16,1.0889440231630578,1.9524104474112391,1.7947321591258736,True
3,6144,10240,6144,torch.float16,1.5015139782149345,2.685106759890914,1.7900545087473443,True
4,7168,10240,7168,torch.float16,2.0673161524068564,3.6667463276535273,1.7754483607685896,True
5,8192,10240,8192,torch.float16,2.705442835651338,4.656269606202841,1.7227959188008202,True
6,9216,10240,9216,torch.float16,3.5313726444821802,5.874432297423482,1.665161771842167,True
7,10240,10240,10240,torch.float16,4.302461433848366,7.309696823358536,1.7006559228207068,True
8,11264,10240,11264,torch.float16,5.37974936068058,8.780970983207226,1.633859008085548,True
9,12288,10240,12288,torch.float16,6.4267194958124305,10.471187671646476,1.6309501085503793,True
10,13312,10240,13312,torch.float16,7.837093722727149,12.291169585660102,1.5699009340115953,True
11,14336,10240,14336,torch.float16,9.391024394147097,14.235240826383233,1.517350554013098,True
12,15360,10240,15360,torch.float16,11.070785802276804,16.305013047531247,1.4742691577703686,True
13,16384,10240,16384,torch.float16,13.038184221880512,18.537378357723355,1.4231978487419117,True
14,17408,10240,17408,torch.float16,15.253159211389718,20.924656931310892,1.373196286615948,True
15,18432,10240,18432,torch.float16,17.754330973327164,23.46866838634014,1.3231778257383728,True
16,19456,10240,19456,torch.float16,20.660675661172718,26.125914696604013,1.265788255920775,True
17,20480,10240,20480,torch.float16,23.697790120262653,28.955934662371874,1.2231052114961087,True
