
================================================================================
BINARY OPS (SUMMARIZED)
================================================================================

add:
  [PASS] NP(-inf), R
  [PASS] NP(1), NP(1)
  [PASS] NP(inf), R
  [PASS] P(avg), P(avg)
  [PASS] P(avg), R
  [PASS] P(max), R
  [PASS] P(min), R
  [PASS] P(sum), P(sum)
  [FAIL] NP(-inf), NP(-inf)
  [FAIL] NP(1), R
  [FAIL] NP(2), NP(2)
  [FAIL] NP(2), R
  [FAIL] NP(inf), NP(inf)
  [FAIL] P(max), P(max)
  [FAIL] P(min), P(min)
  [FAIL] P(product), P(product)
  [FAIL] P(product), R
  [FAIL] P(sum), R
  Summary: 8 passed, 10 failed

atan2:
  [FAIL] NP(-inf), NP(-inf)
  [FAIL] NP(-inf), R
  [FAIL] NP(1), NP(1)
  [FAIL] NP(1), R
  [FAIL] NP(2), NP(2)
  [FAIL] NP(2), R
  [FAIL] NP(inf), NP(inf)
  [FAIL] NP(inf), R
  [FAIL] P(avg), P(avg)
  [FAIL] P(avg), R
  [FAIL] P(max), P(max)
  [FAIL] P(max), R
  [FAIL] P(min), P(min)
  [FAIL] P(min), R
  [FAIL] P(product), P(product)
  [FAIL] P(product), R
  [FAIL] P(sum), P(sum)
  [FAIL] P(sum), R
  Summary: 0 passed, 18 failed

copysign:
  [PASS] NP(2), NP(2)
  [PASS] P(product), P(product)
  [FAIL] NP(-inf), NP(-inf)
  [FAIL] NP(-inf), R
  [FAIL] NP(1), NP(1)
  [FAIL] NP(1), R
  [FAIL] NP(2), R
  [FAIL] NP(inf), NP(inf)
  [FAIL] NP(inf), R
  [FAIL] P(avg), P(avg)
  [FAIL] P(avg), R
  [FAIL] P(max), P(max)
  [FAIL] P(max), R
  [FAIL] P(min), P(min)
  [FAIL] P(min), R
  [FAIL] P(product), R
  [FAIL] P(sum), P(sum)
  [FAIL] P(sum), R
  Summary: 2 passed, 16 failed

div:
  [PASS] NP(1), R
  [PASS] P(avg), R
  [PASS] P(product), P(product)
  [PASS] P(sum), R
  [FAIL] NP(-inf), NP(-inf)
  [FAIL] NP(-inf), R
  [FAIL] NP(1), NP(1)
  [FAIL] NP(2), NP(2)
  [FAIL] NP(2), R
  [FAIL] NP(inf), NP(inf)
  [FAIL] NP(inf), R
  [FAIL] P(avg), P(avg)
  [FAIL] P(max), P(max)
  [FAIL] P(max), R
  [FAIL] P(min), P(min)
  [FAIL] P(min), R
  [FAIL] P(product), R
  [FAIL] P(sum), P(sum)
  Summary: 4 passed, 14 failed

float_power:
  [PASS] P(product), R
  [FAIL] NP(-inf), NP(-inf)
  [FAIL] NP(-inf), R
  [FAIL] NP(1), NP(1)
  [FAIL] NP(1), R
  [FAIL] NP(2), NP(2)
  [FAIL] NP(2), R
  [FAIL] NP(inf), NP(inf)
  [FAIL] NP(inf), R
  [FAIL] P(avg), P(avg)
  [FAIL] P(avg), R
  [FAIL] P(max), P(max)
  [FAIL] P(max), R
  [FAIL] P(min), P(min)
  [FAIL] P(min), R
  [FAIL] P(product), P(product)
  [FAIL] P(sum), P(sum)
  [FAIL] P(sum), R
  Summary: 1 passed, 17 failed

fmax:
  [PASS] NP(-inf), R
  [PASS] NP(inf), NP(inf)
  [PASS] NP(inf), R
  [PASS] P(max), P(max)
  [PASS] P(max), R
  [PASS] P(min), R
  [FAIL] NP(-inf), NP(-inf)
  [FAIL] NP(1), NP(1)
  [FAIL] NP(1), R
  [FAIL] NP(2), NP(2)
  [FAIL] NP(2), R
  [FAIL] P(avg), P(avg)
  [FAIL] P(avg), R
  [FAIL] P(min), P(min)
  [FAIL] P(product), P(product)
  [FAIL] P(product), R
  [FAIL] P(sum), P(sum)
  [FAIL] P(sum), R
  Summary: 6 passed, 12 failed

fmin:
  [PASS] NP(-inf), NP(-inf)
  [PASS] NP(-inf), R
  [PASS] NP(inf), R
  [PASS] P(max), R
  [PASS] P(min), P(min)
  [PASS] P(min), R
