commit_hash,category,topic,title,files_changed,pr_link,author,accepter_1,accepter_2,accepter_3,merge_into
04da6aeb61f,skip,Untopiced,Add OpInfo entry for alias_copy (#127232) (#128142),aten/src/ATen/functorch/BatchRulesDecompositions.cpp test/distributed/_tensor/test_dtensor_ops.py test/expect/HasDecompTest.test_has_decomposition.expect test/functorch/test_vmap_registrations.py test/onnx/test_fx_op_consistency.py tools/autograd/gen_variable_type.py torch/_decomp/__init__.py torch/_inductor/exc.py torch/_refs/__init__.py torch/testing/_internal/common_methods_invocations.py,https://github.com/pytorch/pytorch/pull/128142,rec,lezcano,,,
c993f1b37fe,inductor,Untopiced,Fix edge cases for gather in inductor (#126893),test/inductor/test_torchinductor_opinfo.py torch/_inductor/lowering.py torch/testing/_internal/common_methods_invocations.py,https://github.com/pytorch/pytorch/pull/126893,isuruf,peterbell10,,,
3b73f5de3a0,skip,Untopiced,"Revert ""Add OpInfo entry for alias_copy (#127232) (#128142)""",aten/src/ATen/functorch/BatchRulesDecompositions.cpp test/distributed/_tensor/test_dtensor_ops.py test/expect/HasDecompTest.test_has_decomposition.expect test/functorch/test_vmap_registrations.py test/onnx/test_fx_op_consistency.py tools/autograd/gen_variable_type.py torch/_decomp/__init__.py torch/_inductor/exc.py torch/_refs/__init__.py torch/testing/_internal/common_methods_invocations.py,,,,,,
d22287d1ad3,skip,Untopiced,"Revert ""Fix 'get_real_value' on placeholder nodes (#127698)""",test/dynamo/test_decorators.py torch/_dynamo/utils.py,,,,,,
ca561d639b4,skip,Untopiced,"Revert ""Fix 'get_attr' call in dynamo 'run_node' (#127696)""",test/dynamo/test_decorators.py torch/_dynamo/utils.py,,,,,,
7b9c5e0e3fb,inductor,Untopiced,Turn on GraphTransformObserver for inductor (#127962),test/inductor/test_graph_transform_observer.py torch/_inductor/fx_passes/ddp_fusion.py torch/_inductor/fx_passes/group_batch_fusion.py torch/_inductor/fx_passes/joint_graph.py torch/_inductor/fx_passes/post_grad.py torch/_inductor/fx_passes/pre_grad.py torch/_inductor/fx_passes/replace_random.py torch/_inductor/pattern_matcher.py torch/_inductor/utils.py torch/fx/passes/graph_transform_observer.py,https://github.com/pytorch/pytorch/pull/127962,shengfukevin,jansel,,,
8e482e909bd,skip,not user facing,Add some guard to size oblivious has_internal_overlap (#128328),aten/src/ATen/MemoryOverlap.cpp,https://github.com/pytorch/pytorch/pull/128328,ezyang,Skylion007,,,
ab3a0b192aa,skip,Untopiced,[RFC] add per-collective timeout value in flight recorder (#128190),test/distributed/test_c10d_nccl.py torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp torch/csrc/distributed/c10d/TraceUtils.h,https://github.com/pytorch/pytorch/pull/128190,c-p-i-o,wconstab,,,
46948300a25,distributed,Untopiced,[c10d] integrate PMI NCCL initialization to NCCL-PG (#128243),test/distributed/test_c10d_nccl.py torch/csrc/distributed/c10d/NCCLUtils.cpp torch/csrc/distributed/c10d/NCCLUtils.hpp torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp,https://github.com/pytorch/pytorch/pull/128243,shengbao-zheng,wconstab,,,
08d038f8a85,inductor,Untopiced,[PT2] Fix a typo and lint problem (#128258),torch/_inductor/fx_passes/decompose_mem_bound_mm.py torch/_inductor/fx_passes/split_cat.py,https://github.com/pytorch/pytorch/pull/128258,mengluy0125,Yuzhen11,dshi7,,
83941482f74,distributed,Untopiced,Add docstring for the torch.distributed.elastic.utils.distributed.get_free_port function (#128133),torch/distributed/elastic/utils/distributed.py,https://github.com/pytorch/pytorch/pull/128133,afrittoli,H-Huang,,,
136bdb96cb6,profiler,improvements,Update Kineto submodule with fix to test_basic_chrome_trace (#128333),test/profiler/test_profiler.py third_party/kineto,https://github.com/pytorch/pytorch/pull/128333,aaronenyeshi,Skylion007,,,
fa8ec8e7189,dynamo,not user facing,[dynamo] handle hashable exceptions in trace_rules lookup (#128078),torch/_dynamo/trace_rules.py,https://github.com/pytorch/pytorch/pull/128078,masnesral,anijain2305,,,
093a4ff5f85,skip,not user facing,[export] FIx unflattener for preserving modules containing unused inputs (#128260),test/export/test_unflatten.py torch/export/unflatten.py,https://github.com/pytorch/pytorch/pull/128260,angelayi,pianpwk,,,
db2fa7b827c,skip,Untopiced,"Revert ""[export] FIx unflattener for preserving modules containing unused inputs (#128260)""",test/export/test_unflatten.py torch/export/unflatten.py,,,,,,
