dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,2.857536,3.196048,7.709004,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_GPT2,1,3.008636,2.959480,7.797539,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,2.855284,3.155322,7.761163,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,"BERT_pytorch,hf_GPT2,hf_Bert,hf_Albert,hf_DistilBert",0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,1.392170,3.365324,7.956447,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.767091,2.344841,11.150090,1.091849,1.421015,1.301475,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.758461,1.787508,11.583015,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.813962,1.267097,8.800550,1.231467,0.910657,0.739490,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,16,2.873756,2.518803,10.408308,1.237853,1.765066,1.425909,543,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,16,2.398798,3.034029,12.489798,1.237626,1.765066,1.426171,543,1,0,0,0,0,0
cuda,hf_GPT2,1,1.365796,3.627075,7.812790,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_Albert,1,2.975074,1.581176,11.086527,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.904902,1.146654,7.739531,1.231467,0.910657,0.739490,157,1,0,0,0,0,0
cuda,BERT_pytorch,16,2.516096,2.896616,12.418056,1.237626,1.765066,1.426171,543,1,0,0,0,0,0
cuda,hf_GPT2,1,1.590312,3.101024,8.181216,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,2.369162,1.677542,9.364999,1.316565,1.421015,1.079335,312,1,0,0,0,0,0
cuda,hf_Albert,1,3.529622,1.333902,9.800760,0.810991,0.235038,0.289816,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,2.100180,1.075556,6.974649,1.232122,0.910657,0.739097,157,1,0,0,0,0,0
cuda,BERT_pytorch,16,2.909068,2.547002,10.463901,1.237853,1.765066,1.425909,543,1,0,0,0,0,0
cuda,hf_Bert,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_Bert,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_Bert,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_Bert,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_Bert,1,2.186696,1.927214,9.227941,1.316565,1.421015,1.079335,312,1,0,0,0,0,0
cuda,hf_GPT2,1,1.470791,3.285193,9.011614,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,2.417887,1.666461,10.178507,1.316085,1.421015,1.079728,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.959616,1.638163,11.483532,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,2.147826,0.997448,7.414863,1.231467,0.910657,0.739490,157,1,0,0,0,0,0
cuda,BERT_pytorch,16,2.725027,2.887321,12.715498,1.237853,1.765066,1.425909,543,1,0,0,0,0,0
cuda,hf_GPT2,1,1.613727,3.151696,8.232062,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,2.819483,1.557660,10.142744,1.316565,1.421015,1.079335,312,1,0,0,0,0,0
cuda,hf_Albert,1,3.913991,1.201447,9.863329,0.810991,0.235038,0.289816,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,2.429121,0.915145,7.295910,1.232122,0.910657,0.739097,157,1,0,0,0,0,0
cuda,BERT_pytorch,16,2.588644,3.026428,11.477376,1.237853,1.765066,1.425909,543,1,0,0,0,0,0
cuda,hf_Albert,1,3.412369,1.406001,11.583569,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.356611,1.364699,11.711816,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.334468,1.361074,18.956902,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.439609,1.327698,11.271538,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.396946,1.374229,11.460433,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.431327,1.333277,11.188627,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.351758,1.454170,11.418130,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_Albert,1,3.488999,1.385901,12.004258,0.809892,0.235038,0.290209,392,1,0,0,0,0,0
cuda,hf_GPT2,1,1.501537,3.384599,8.338763,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.920501,2.051362,8.614779,1.330133,1.421015,1.068325,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.532601,1.790668,9.585124,0.844605,0.235038,0.278281,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.746175,1.201823,6.199695,1.250754,0.910657,0.728087,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,1.563514,2.988935,8.163136,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.884620,2.142436,8.568127,1.330133,1.421015,1.068325,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.662636,1.716811,9.536964,0.844605,0.235038,0.278281,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.765984,1.176804,6.268719,1.250754,0.910657,0.728087,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,1.540514,3.229258,8.255265,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.898598,2.178058,8.739560,1.330133,1.421015,1.068325,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.722418,1.686771,9.554310,0.844605,0.235038,0.278281,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.771005,1.256516,6.602830,1.250754,0.910657,0.728087,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,1.538524,3.065431,8.232985,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.738492,2.484808,8.671551,1.330133,1.421015,1.068325,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.644370,1.715615,9.816132,0.844605,0.235038,0.278281,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.738676,1.211422,6.272094,1.250754,0.910657,0.728087,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,1.547011,3.140399,8.334474,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.918153,2.117643,8.335268,1.330133,1.421015,1.068325,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.666565,1.702349,9.875884,0.844605,0.235038,0.278281,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.750621,1.204561,5.985766,1.250754,0.910657,0.728087,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,hf_GPT2,1,1.548615,2.948589,7.950923,1.244462,1.742550,1.400243,529,1,0,0,0,0,0
cuda,hf_Bert,1,1.869112,2.137567,8.455988,1.330133,1.421015,1.068325,312,1,0,0,0,0,0
cuda,hf_Albert,1,2.732826,1.926808,9.392843,0.844605,0.235038,0.278281,392,1,0,0,0,0,0
cuda,hf_DistilBert,1,1.673659,1.346130,6.305168,1.250754,0.910657,0.728087,157,1,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
cuda,BERT_pytorch,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
