input_shapes,Hits,Samples,CPU time Us (sum)
"[[128,1,768],[768,512]]",170619907.40741,368539,344719020370.37
"[[512,1,768],[768,3072]]",4238888.8888889,9156,185216839351.85
"[[512,1,3072],[3072,768]]",4067129.6296296,8785,178355136574.07
"[[128,1,768],[768,768]]",36806944.444444,79503,116133621296.3
"[[4096],[4096,2048]]",33680555.555556,72750,115437714814.81
"[[256,1,512],[512,2048]]",9270370.3703704,20024,106040357407.41
"[[256,1,2048],[2048,512]]",5970833.3333333,12897,73871267592.593
"[[100,1,2048],[2048,512]]",12854629.62963,27766,65702430555.556
"[[100,1,512],[512,2048]]",13403703.703704,28952,63791920833.333
"[[2048],[2048,2048]]",33518981.481481,72401,58799608796.296
"[[256,1,512],[512,1536]]",6521296.2962963,14086,56361653240.741
"[[100,1,512],[512,1536]]",12921296.296296,27910,45749963425.926
"[[256,1,512],[512,512]]",15415740.740741,33298,45211597685.185
"[[256,1,512],[256,1,2048],[2048,512]]",3511574.0740741,7585,40775374074.074
"[[2048],[2048,5688]]",8339814.8148148,18014,40027276388.889
"[[256,1,768],[768,3072]]",1521296.2962963,3286,37776142592.593
"[[517,1,3072],[3072,768]]",705555.55555556,1524,32340842592.593
"[[512,1,768],[768,512]]",3831018.5185185,8275,28330568518.519
"[[100,1,768],[768,3072]]",2431944.4444444,5253,27606555555.556
"[[256,1,3072],[3072,768]]",1014814.8148148,2192,26810403703.704
"[[517,1,768],[768,3072]]",584259.25925926,1262,26337756481.481
"[[1,768,384],[1,384,49]]",24607870.37037,53153,25691570370.37
"[[512,1,512],[512,768]]",3283333.3333333,7092,23866756018.519
"[[100,1,768],[100,1,3072],[3072,768]]",1874074.0740741,4048,23695443981.481
"[[517,1,768],[768,2304]]",609259.25925926,1316,21263741203.704
"[[52,1,768],[768,3072]]",3463425.9259259,7481,21108120833.333
"[[52,1,3072],[3072,768]]",3574074.0740741,7720,20917502777.778
"[[256,1,300],[300,512]]",11196296.296296,24184,20885453240.741
"[[1,128,1024],[1024,4096]]",807870.37037037,1745,20554887500
"[[1,384,49],[1,49,768]]",25460185.185185,54994,20231326851.852
"[[1,128,4096],[4096,1024]]",700925.92592593,1514,17938759722.222
"[[1,128,1024],[1024,1024]]",2680092.5925926,5789,17247231018.519
"[[1,768,512],[512,128]]",7925000,17118,16768272685.185
"[[51,1,768],[768,3072]]",2692129.6296296,5815,16345363888.889
"[[51,1,3072],[3072,768]]",2679629.6296296,5788,15506266666.667
"[[256,1,768],[768,768]]",2443055.5555556,5277,15302379166.667
"[[100,1,512],[512,512]]",12793518.518519,27634,15195070370.37
"[[3,1,768],[768,3072]]",8449074.0740741,18250,14883735185.185
"[[17,260,96],[96,96]]",7279166.6666667,15723,14667093055.556
"[[57,1,768],[768,3072]]",1981481.4814815,4280,12985638888.889
"[[54,1,3072],[3072,768]]",2084259.2592593,4502,12661985185.185
"[[57,1,3072],[3072,768]]",1826388.8888889,3945,12500573611.111
"[[62,1,3072],[3072,768]]",1664351.8518519,3595,12095287037.037
"[[54,1,768],[768,3072]]",1961111.1111111,4236,12087038888.889
"[[256,1,768],[256,1,3072],[3072,768]]",461574.07407407,997,11876195833.333
"[[30,1,2048],[2048,6144]]",349074.07407407,754,11657020833.333
"[[3,1,2048],[2048,512]]",14600000,31536,11546382407.407
"[[3,1,512],[512,2048]]",14395833.333333,31095,11534791203.704
"[[70,1,768],[768,3072]]",1476388.8888889,3189,11423148611.111
"[[64,1,3072],[3072,768]]",1479166.6666667,3195,11345106018.519
"[[64,1,768],[768,3072]]",1567592.5925926,3386,11207888425.926
"[[3,1,3072],[3072,768]]",6416666.6666667,13860,11041995370.37
"[[60,1,768],[768,3072]]",1650000,3564,10893981481.481
"[[62,1,768],[768,3072]]",1538888.8888889,3324,10806833796.296
"[[75,1,768],[768,3072]]",1293981.4814815,2795,10769093518.519
"[[60,1,3072],[3072,768]]",1495370.3703704,3230,10763558796.296
"[[66,1,3072],[3072,768]]",1430092.5925926,3089,10689955555.556
"[[63,1,768],[768,3072]]",1430092.5925926,3089,10586214351.852
"[[61,1,3072],[3072,768]]",1449537.037037,3131,10581456018.519
"[[61,1,768],[768,3072]]",1547222.2222222,3342,10556023611.111
"[[58,1,768],[768,3072]]",1576388.8888889,3405,10529495833.333
"[[71,1,768],[768,3072]]",1295833.3333333,2799,10529462500
"[[8,1,512],[512,2048]]",9671296.2962963,20890,10401870833.333
"[[100,1,768],[768,2304]]",1174537.037037,2537,10401066666.667
"[[66,1,768],[768,3072]]",1439351.8518519,3109,10389566203.704
"[[59,1,3072],[3072,768]]",1443055.5555556,3117,10377192592.593
"[[59,1,768],[768,3072]]",1505555.5555556,3252,10362369444.444
"[[70,1,3072],[3072,768]]",1322222.2222222,2856,10324700000
"[[63,1,3072],[3072,768]]",1405555.5555556,3036,10286995833.333
"[[68,1,3072],[3072,768]]",1293518.5185185,2794,10251438425.926
"[[67,1,3072],[3072,768]]",1319907.4074074,2851,10205750000
"[[72,1,768],[768,3072]]",1300462.962963,2809,10138423148.148
"[[72,1,3072],[3072,768]]",1285185.1851852,2776,10057377777.778
"[[73,1,768],[768,3072]]",1250925.9259259,2702,10037211574.074
"[[82,1,768],[768,3072]]",1144907.4074074,2473,9915191666.6667
"[[86,1,768],[768,3072]]",1112037.037037,2402,9861719907.4074
"[[68,1,768],[768,3072]]",1351388.8888889,2919,9817467129.6296
"[[56,1,768],[768,3072]]",1559259.2592593,3368,9720356018.5185
"[[77,1,768],[768,3072]]",1181018.5185185,2551,9693010185.1852
"[[256,1,512],[256,1,512],[512,512]]",3385185.1851852,7312,9661822222.2222
"[[69,1,768],[768,3072]]",1273148.1481481,2750,9600431481.4815
"[[7,1,512],[512,2048]]",9627314.8148148,20795,9520876388.8889
"[[74,1,768],[768,3072]]",1168055.5555556,2523,9488414814.8148
"[[76,1,768],[768,3072]]",1160648.1481481,2507,9488401388.8889
"[[81,1,768],[768,3072]]",1094907.4074074,2365,9449126388.8889
"[[74,1,3072],[3072,768]]",1165740.7407407,2518,9407744907.4074
"[[80,1,3072],[3072,768]]",1082870.3703704,2339,9407075462.963
"[[65,1,3072],[3072,768]]",1200000,2592,9356731481.4815
"[[3,1,768],[768,2304]]",6819907.4074074,14731,9278968518.5185
"[[3,1,512],[512,1536]]",15375462.962963,33211,9259373148.1481
"[[76,1,3072],[3072,768]]",1097685.1851852,2371,9202227777.7778
"[[85,1,768],[768,3072]]",1020833.3333333,2205,9196700462.963
"[[80,1,768],[768,3072]]",1058796.2962963,2287,9195835185.1852
"[[65,1,768],[768,3072]]",1278240.7407407,2761,9166071296.2963
"[[78,1,3072],[3072,768]]",1061111.1111111,2292,9160712500
"[[79,1,3072],[3072,768]]",1076851.8518519,2326,9145009722.2222
"[[84,1,768],[768,3072]]",987962.96296296,2134,9070135185.1852
"[[71,1,3072],[3072,768]]",1087500,2349,8976320370.3704
"[[69,1,3072],[3072,768]]",1119444.4444444,2418,8941698148.1481
"[[90,1,768],[768,3072]]",935648.14814815,2021,8799913425.9259
"[[58,1,3072],[3072,768]]",1282870.3703704,2771,8718234722.2222
"[[67,1,768],[768,3072]]",1162037.037037,2510,8640657407.4074
"[[256,1,768],[768,2304]]",465740.74074074,1006,8639519444.4444
"[[55,1,3072],[3072,768]]",1375462.962963,2971,8597545833.3333
"[[82,1,3072],[3072,768]]",939351.85185185,2029,8577920370.3704
"[[78,1,768],[768,3072]]",1000925.9259259,2162,8559565277.7778
"[[73,1,3072],[3072,768]]",1040277.7777778,2247,8525733796.2963
"[[75,1,3072],[3072,768]]",994907.40740741,2149,8423073611.1111
"[[6,1,512],[512,2048]]",8972222.2222222,19380,8264664351.8519
"[[84,1,3072],[3072,768]]",912037.03703704,1970,8259346296.2963
"[[87,1,3072],[3072,768]]",843055.55555556,1821,8235067129.6296
"[[85,1,3072],[3072,768]]",892592.59259259,1928,8216291203.7037
"[[9,1,512],[512,2048]]",7844444.4444444,16944,8214594907.4074
"[[56,1,3072],[3072,768]]",1213425.9259259,2621,8159615277.7778
"[[81,1,3072],[3072,768]]",901388.88888889,1947,8104669907.4074
"[[99,1,768],[768,3072]]",768055.55555556,1659,8073752777.7778
"[[79,1,768],[768,3072]]",952777.77777778,2058,8028262500
"[[83,1,768],[768,3072]]",897222.22222222,1938,7974878703.7037
"[[92,1,768],[768,3072]]",852777.77777778,1842,7939493055.5556
"[[55,1,768],[768,3072]]",1242592.5925926,2684,7860168981.4815
"[[96,1,768],[768,3072]]",811111.11111111,1752,7832874537.037
"[[2048],[2048,1099]]",8052777.7777778,17394,7752432870.3704
"[[86,1,3072],[3072,768]]",843981.48148148,1823,7746781018.5185
"[[91,1,768],[768,3072]]",810648.14814815,1751,7692010185.1852
"[[87,1,768],[768,3072]]",850925.92592593,1838,7625065740.7407
"[[10,1,512],[512,2048]]",6855092.5925926,14807,7507007870.3704
"[[94,1,768],[768,3072]]",724537.03703704,1565,7451299074.0741
"[[8,1,512],[512,1536]]",9437962.962963,20386,7428689814.8148
"[[88,1,768],[768,3072]]",821296.2962963,1774,7403694907.4074
"[[7,1,512],[512,1536]]",9706481.4814815,20966,7400113888.8889
"[[517,1,768],[768,768]]",642592.59259259,1388,7388110648.1481
"[[91,1,3072],[3072,768]]",726388.88888889,1569,7384425000
"[[77,1,3072],[3072,768]]",847222.22222222,1830,7180787962.963
"[[16,260,96],[96,96]]",3707870.3703704,8009,7160416203.7037
"[[89,1,3072],[3072,768]]",750000,1620,7158882870.3704
"[[89,1,768],[768,3072]]",762962.96296296,1648,7088406944.4444
"[[93,1,768],[768,3072]]",750462.96296296,1621,7028962037.037
"[[16,128,6],[16,6,6]]",23893055.555556,51609,6856116203.7037
"[[94,1,3072],[3072,768]]",683796.2962963,1477,6788632407.4074
"[[108,1,3072],[3072,768]]",582870.37037037,1259,6629372685.1852
"[[90,1,3072],[3072,768]]",716666.66666667,1548,6611025925.9259
"[[95,1,768],[768,3072]]",680092.59259259,1469,6551613888.8889
"[[93,1,3072],[3072,768]]",668518.51851852,1444,6548310648.1481
"[[92,1,3072],[3072,768]]",656944.44444444,1419,6533706481.4815
"[[83,1,3072],[3072,768]]",716666.66666667,1548,6519925000
"[[96,1,3072],[3072,768]]",648611.11111111,1401,6501647222.2222
"[[99,1,3072],[3072,768]]",615740.74074074,1330,6469638425.9259
"[[100,1,3072],[3072,768]]",635185.18518519,1372,6466772222.2222
"[[98,1,768],[768,3072]]",648148.14814815,1400,6401502777.7778
"[[102,1,768],[768,3072]]",599074.07407407,1294,6355655092.5926
"[[88,1,3072],[3072,768]]",671759.25925926,1451,6346233796.2963
"[[10,1,512],[512,1536]]",7708333.3333333,16650,6242957407.4074
"[[9,1,512],[512,1536]]",7812500,16875,6189923611.1111
"[[21,1,3072],[3072,768]]",1869444.4444444,4038,6140175925.9259
"[[9,1,256],[256,2048]]",12028703.703704,25982,6130141203.7037
"[[2,1,512],[512,2048]]",7264351.8518519,15691,6094271296.2963
"[[106,1,3072],[3072,768]]",558333.33333333,1206,6093244907.4074
"[[1,100,768],[768,527]]",2482407.4074074,5362,6064925000
"[[103,1,768],[768,3072]]",565277.77777778,1221,6038119907.4074
"[[9,1,2048],[2048,256]]",12038425.925926,26003,6016414351.8519
"[[101,1,768],[768,3072]]",571759.25925926,1235,5988431944.4444
"[[105,1,3072],[3072,768]]",555555.55555556,1200,5923575462.963
"[[98,1,3072],[3072,768]]",593518.51851852,1282,5833104166.6667
"[[8,1,2048],[2048,512]]",5700462.962963,12313,5813766203.7037
"[[107,1,768],[768,3072]]",552777.77777778,1194,5788272222.2222
"[[104,1,3072],[3072,768]]",545370.37037037,1178,5783089351.8519
"[[6,1,512],[512,1536]]",8135648.1481481,17573,5630135185.1852
"[[108,1,768],[768,3072]]",515740.74074074,1114,5580338888.8889
"[[11,1,512],[512,2048]]",4968518.5185185,10732,5562800462.963
"[[106,1,768],[768,3072]]",498611.11111111,1077,5528804629.6296
"[[102,1,3072],[3072,768]]",537962.96296296,1162,5474027314.8148
"[[112,1,768],[768,3072]]",486111.11111111,1050,5429889814.8148
"[[20,1,768],[768,3072]]",1519444.4444444,3282,5416442129.6296
"[[7,1,768],[768,3072]]",2183796.2962963,4717,5410839814.8148
"[[100,1,768],[768,768]]",1924537.037037,4157,5372726388.8889
"[[129,1,768],[768,3072]]",406481.48148148,878,5292120833.3333
"[[103,1,3072],[3072,768]]",508796.2962963,1099,5271625462.963
"[[21,1,768],[768,3072]]",1579629.6296296,3412,5264103703.7037
"[[124,1,3072],[3072,768]]",371759.25925926,803,5223009259.2593
"[[97,1,768],[768,3072]]",493981.48148148,1067,5195633796.2963
"[[12,1,512],[512,2048]]",4475462.962963,9667,5191664814.8148
"[[95,1,3072],[3072,768]]",515277.77777778,1113,5183123148.1481
"[[134,1,768],[768,3072]]",396296.2962963,856,5175536111.1111
"[[109,1,3072],[3072,768]]",450000,972,5156543055.5556
