input_shapes,Hits,Samples,CPU time Us (sum)
"[[128,1,768],[512,768],[512]]",173684259.25926,375158,357097653240.74
"[[512,1,768],[512,1,3072],[768,3072],[768]]",3793981.4814815,8195,173719264351.85
"[[512,1,768],[512,1,768],[3072,768],[3072]]",3750925.9259259,8102,164162938888.89
"[[16,6488],[768,6488],[768]]",23252314.814815,50225,142459447685.19
"[[1,448],[1344,448],[1344]]",942704629.62963,2036242,122582007870.37
"[[1,128],[512,128],[512]]",6574598611.1111,14201133,115241416666.67
"[[1,150],[600,150],[600]]",5094828703.7037,11004830,108565173611.11
"[[1,15940],[64,15940],[64]]",90659722.222222,195825,74439474074.074
"[[128,1,768],[768,768],[768]]",21806018.518519,47101,69856149074.074
"[[1,456],[1368,456],[1368]]",495835185.18519,1071004,66109951388.889
"[[100,1,2048],[512,2048],[512]]",12436574.074074,26863,65270265277.778
"[[100,1,512],[2048,512],[2048]]",12542129.62963,27091,61362761111.111
"[[256,1,512],[2048,512],[2048]]",5057407.4074074,10924,61078154166.667
"[[1,32],[128,32],[128]]",6252168055.5556,13504683,51643399537.037
"[[256,1,512],[1536,512],[1536]]",5618518.5185185,12136,49785043518.519
"[[256,1,2048],[512,2048],[512]]",3762962.962963,8128,47605358333.333
"[[100,1,512],[1536,512],[1536]]",12587500,27189,45701820833.333
"[[16,3125],[384,3125],[384]]",26160648.148148,56507,39928206944.444
"[[1,256],[1024,256],[1024]]",535312962.96296,1156276,29449906018.519
"[[512,1,768],[512,768],[512]]",3924537.037037,8477,29323970833.333
"[[512,1,768],[512,1,512],[768,512],[768]]",3707870.3703704,8009,28120817592.593
"[[256,1,512],[256,1,2048],[512,2048],[512]]",2398148.1481481,5180,28019991203.704
"[[517,1,768],[3072,768],[3072]]",617129.62962963,1333,27550985648.148
"[[1,64],[256,64],[256]]",2427297685.1852,5242963,26400241203.704
"[[1,3472],[4096,3472],[4096]]",3831944.4444444,8277,25147236111.111
"[[256,1,768],[256,1,3072],[768,3072],[768]]",976388.88888889,2109,25017067129.63
"[[517,1,3072],[768,3072],[768]]",541666.66666667,1170,25003638888.889
"[[16,128],[6080,128],[6080]]",23653703.703704,51092,24450380092.593
"[[17,6488],[768,6488],[768]]",3490740.7407407,7540,23108675000
"[[52,1,768],[52,1,768],[3072,768],[3072]]",3649537.037037,7883,22284985648.148
"[[52,1,768],[52,1,3072],[768,3072],[768]]",3575462.962963,7723,21005443055.556
"[[256,1,300],[512,300],[512]]",10741203.703704,23201,20696542592.593
"[[16,768],[128,768],[128]]",155807407.40741,336544,19986356944.444
"[[256,1,512],[256,1,512],[512,512],[512]]",6075000,13122,18201481018.519
"[[256,1,768],[3072,768],[3072]]",700462.96296296,1513,18166144444.444
"[[1,512],[2048,512],[2048]]",58340740.740741,126016,17931932870.37
"[[1,128,1024],[4096,1024],[4096]]",685648.14814815,1481,17754796759.259
"[[517,1,768],[2304,768],[2304]]",518055.55555556,1119,17556660648.148
"[[1,80],[320,80],[320]]",1622862962.963,3505384,17245541203.704
"[[1,128,1024],[1024,1024],[1024]]",2504629.6296296,5410,16308846759.259
"[[51,1,768],[51,1,768],[3072,768],[3072]]",2639814.8148148,5702,16288049074.074
"[[1,4096],[2048,4096],[2048]]",4441666.6666667,9594,16180336111.111
"[[1,128,4096],[1024,4096],[1024]]",614351.85185185,1327,16105324537.037
"[[],[],[1,10204],[4096,10204],[4096]]",744907.40740741,1609,16067971296.296
"[[100,1,512],[100,1,512],[512,512],[512]]",12640277.777778,27303,15548436574.074
"[[1,768,512],[128,512],[]]",7365740.7407407,15910,15532108796.296
"[[51,1,768],[51,1,3072],[768,3072],[768]]",2608796.2962963,5635,15367301851.852
"[[16,946],[384,946],[384]]",25896759.259259,55937,12174623611.111
"[[1,1024],[512,1024],[512]]",46709259.259259,100892,12142943981.481
"[[54,1,768],[54,1,768],[3072,768],[3072]]",1862962.962963,4024,11964928703.704
