name,category,pointwise unary,pointwise binary,inplace,essential,autograd,emulatable,emulation notes,undocumented,tech-debt,notes
__abs__,,TRUE,,,,,,,,,
__add__,,,TRUE,,,,TRUE,,,,
__and__,,,TRUE,,,,TRUE,,,,
__array__,,,,,,,,,,,
__array_priority__,,,,,,,,,,,
__array_wrap__,,,,,,,,,,,
__bool__,,,,,,,TRUE,to()? (no! this is a python builtin to get a bool value from tensor),,,
__class__,,,,,TRUE,,,,,,
__contains__,,,,,,,,,,,
__cuda_array_interface__,,,,,TRUE,,,,,,
__deepcopy__,,,,,TRUE,,,,,,
__delattr__,,,,,,,,,,,
__delitem__,,,,,,,,,,,
__dict__,,,,,,,,,,,
__dir__,,,,,TRUE,,,,,,
__div__,,,,,,,,,,,
__doc__,,,,,,,,,,,
__eq__,,,TRUE,,,,TRUE,,,,
__float__,,TRUE,,,,,TRUE,,,,
__floordiv__,,TRUE,,,,,TRUE,,,,
__format__,,,,,,,,,,,
__ge__,,,TRUE,,,,TRUE,,,,
__getattribute__,,,,,TRUE,,,,,,
__getitem__,,,,,,,,,,,
__gt__,,,TRUE,,,,TRUE,,,,
__hash__,,,,,,,,,,,
__iadd__,,,TRUE,,,,TRUE,,,,
__iand__,,,TRUE,,,,TRUE,,,,
__idiv__,,,TRUE,,,,TRUE,,,,
__ilshift__,,,TRUE,,,,TRUE,,,,
__imul__,,,TRUE,,,,TRUE,,,,
__index__,,,,,,,,,,,
__init__,,,,,TRUE,,,,,,
__init_subclass__,,,,,TRUE,,,,,,
__int__,,,,,,,,,,,
__invert__,,,,,,,,,,,
__ior__,,,TRUE,,,,TRUE,,,,
__ipow__,,,TRUE,,,,TRUE,,,,
__irshift__,,TRUE,,,,,TRUE,,,,
__isub__,,,TRUE,,,,TRUE,,,,
__iter__,,,,,,,,,,,
__itruediv__,,TRUE,,,,,TRUE,,,,
__ixor__,,TRUE,,,,,TRUE,,,,
__le__,,,TRUE,,,,TRUE,,,,
__len__,,,,,TRUE,,,,,,
__long__,,TRUE,,,,,TRUE,to,,,
__lshift__,,TRUE,,,,,TRUE,,,,
__lt__,,,TRUE,,,,TRUE,,,,
